Rank,Athlete(s),Year,Team,Time_Distance_Points,Meet,Meet Date,Wind,Event,Conference,Gender
10,"Parthemore, Rachel",JR-3,North Central (Ill.),5.00m,NCC 1st Chance Invitational - 2023,7-Apr-23,2.2,Long Jump,CCIW,Women
11,"Ladin, Faith",JR-3,North Central (Ill.),4.99m,Spartan Opener,2-Apr-23,6.6,Long Jump,CCIW,Women
12,"Carr, Vanessa",FR-1,Elmhurst,4.96m,Illinois College True Blue Invite,7-Apr-23,-1.9,Long Jump,CCIW,Women
13,"Nash, Delaney",SO-2,North Central (Ill.),4.92m,Spartan Opener,2-Apr-23,0,Long Jump,CCIW,Women
14,"Johnston, Teagan",SO-2,Carthage,4.87m,Wisconsin Private College Championships,2-Apr-23,3.1,Long Jump,CCIW,Women
15,"Mathews, Leilani",SR-4,Elmhurst,4.79m,2023 Millikin Alumni Invite,1-Apr-23,0.8,Long Jump,CCIW,Women
16,"Miller, Esther",SR-4,North Park,4.77m,2023 Bryan Clay Invitational,13-Apr-23,0,Long Jump,CCIW,Women
17,"Maiyaki, Zainab",FR-1,North Central (Ill.),4.72m,Wheaton Invitational 2023,14-Apr-23,0.8,Long Jump,CCIW,Women
18,"Jones, Hannah",JR-3,North Central (Ill.),4.71m,Spartan Opener,2-Apr-23,3.5,Long Jump,CCIW,Women
18,"Anselme, Sammi",SO-2,Augustana (Ill.),4.71m,Wartburg Outdoor Select,1-Apr-23,2.5,Long Jump,CCIW,Women
20,"Scarabaggio, Francesca",SO-2,Elmhurst,4.70m,2023 Millikin Alumni Invite,1-Apr-23,2.7,Long Jump,CCIW,Women
21,"Wilson , Evie",SO-2,Illinois Wesleyan,4.69m,Wheaton Invitational 2023,14-Apr-23,1,Long Jump,CCIW,Women
21,"Nisius, Grace",FR-1,Carthage,4.69m,Wheaton Invitational 2023,14-Apr-23,0.7,Long Jump,CCIW,Women
23,"Dickenson, Rachael",SR-4,Elmhurst,4.66m,Wheaton Invitational 2023,14-Apr-23,0.2,Long Jump,CCIW,Women
24,"Lippens, Emma",SO-2,Carthage,4.63m,Wheaton Invitational 2023,14-Apr-23,0.9,Long Jump,CCIW,Women
25,"Bradley, Vashayla",FR-1,Elmhurst,4.62m,Illinois College True Blue Invite,7-Apr-23,-1.2,Long Jump,CCIW,Women
1,"Jarvis, Alex",JR-3,Carthage,13.61m,NCC 1st Chance Invitational - 2023,7-Apr-23,0.2,Triple Jump,CCIW,Men
2,"Martinez, Rickey",SO-2,Elmhurst,13.39m,2023 Bryan Clay Invitational,13-Apr-23,1.9,Triple Jump,CCIW,Men
3,"Johnson III, Kedrick",FR-1,Carthage,13.27m,Wheaton Invitational 2023,14-Apr-23,-0.7,Triple Jump,CCIW,Men
4,"Okewole, Sam",SO-2,Illinois Wesleyan,12.97m,Wheaton Invitational 2023,14-Apr-23,0.7,Triple Jump,CCIW,Men
5,"Sarver, Jake",FR-1,Millikin,12.82m,Illinois College True Blue Invite,7-Apr-23,-2.9,Triple Jump,CCIW,Men
6,"Ibarra, Adrian",JR-3,Augustana (Ill.),12.69m,Rex Foster Twilight,7-Apr-23,0.9,Triple Jump,CCIW,Men
7,"Earnst, Jeremy",SR-4,Wheaton (Ill.),12.60m,NCC 1st Chance Invitational - 2023,7-Apr-23,0.3,Triple Jump,CCIW,Men
8,"White, Kamren",FR-1,Carthage,12.58m,Wisconsin Private College Championships,2-Apr-23,3.2,Triple Jump,CCIW,Men
9,"Robinson, Michael",FR-1,North Central (Ill.),12.21m,NCC 1st Chance Invitational - 2023,7-Apr-23,0,Triple Jump,CCIW,Men
10,"Campbell, Patrick",FR-1,Elmhurst,11.98m,Wheaton Invitational 2023,14-Apr-23,0.4,Triple Jump,CCIW,Men
11,"Moran, Collin",FR-1,Carthage,11.64m,NCC 1st Chance Invitational - 2023,7-Apr-23,0,Triple Jump,CCIW,Men
12,"Jarvis, Alizjah",FR-1,Millikin,11.54m,Greenville College Select Meet,15-Apr-23,3.1,Triple Jump,CCIW,Men
13,"Khan, Sufyan",FR-1,Elmhurst,11.23m,Wheaton Invitational 2023,14-Apr-23,2.1,Triple Jump,CCIW,Men
14,"Baldwin, Curtis",SO-2,Augustana (Ill.),11.14m,Wheaton Invitational 2023,14-Apr-23,1.8,Triple Jump,CCIW,Men
15,"O'Neill, Aidan",SO-2,Carthage,10.50m,Wheaton Invitational 2023,14-Apr-23,0.8,Triple Jump,CCIW,Men
1,"Wong, Lauren",JR-3,Illinois Wesleyan,11.39m,Wheaton Invitational 2023,14-Apr-23,0.1,Triple Jump,CCIW,Women
2,"Calhoun, Abigail",JR-3,Carthage,11.20m,Wheaton Invitational 2023,14-Apr-23,0.1,Triple Jump,CCIW,Women
3,"Carr, Vanessa",FR-1,Elmhurst,10.79m,2023 Bryan Clay Invitational,13-Apr-23,0.7,Triple Jump,CCIW,Women
4,"Price, Taylor",JR-3,North Central (Ill.),10.68m,Spartan Opener,2-Apr-23,6,Triple Jump,CCIW,Women
5,"Smith, Franchesca",SO-2,Illinois Wesleyan,10.54m,Wabash College Huntsman Family Invite 2023,8-Apr-23,3.1,Triple Jump,CCIW,Women
6,"Miller, Mckinlee",SR-4,Illinois Wesleyan,10.43m,Wheaton Invitational 2023,14-Apr-23,0.9,Triple Jump,CCIW,Women
6,"Matthias, Erin",SR-4,Elmhurst,10.43m,2023 Millikin Alumni Invite,1-Apr-23,1.4,Triple Jump,CCIW,Women
6,"Janvrin, Katie",FR-1,Millikin,10.43m,Greenville College Select Meet,15-Apr-23,NWI,Triple Jump,CCIW,Women
9,"Maiyaki, Zainab",FR-1,North Central (Ill.),10.33m,Wheaton Invitational 2023,14-Apr-23,2.1,Triple Jump,CCIW,Women
10,"Sago, Hannah",FR-1,Millikin,10.17m,Greenville College Select Meet,15-Apr-23,0,Triple Jump,CCIW,Women
11,"Anselme, Sammi",SO-2,Augustana (Ill.),10.02m,Wartburg Outdoor Select,1-Apr-23,4.7,Triple Jump,CCIW,Women
12,"Lippens, Emma",SO-2,Carthage,9.91m,NCC 1st Chance Invitational - 2023,7-Apr-23,0.5,Triple Jump,CCIW,Women
13,"Dickenson, Rachael",SR-4,Elmhurst,9.72m,Wheaton Invitational 2023,14-Apr-23,1.3,Triple Jump,CCIW,Women
14,"Cleveland, Grace",JR-3,Wheaton (Ill.),9.66m,Wheaton Invitational 2023,14-Apr-23,0.4,Triple Jump,CCIW,Women
15,"Johnson , Hannah",JR-3,Augustana (Ill.),9.61m,Wartburg Outdoor Select,1-Apr-23,4.9,Triple Jump,CCIW,Women
16,"Nisius, Grace",FR-1,Carthage,9.50m,NCC 1st Chance Invitational - 2023,7-Apr-23,0.3,Triple Jump,CCIW,Women
17,"Scarabaggio, Francesca",SO-2,Elmhurst,9.48m,Illinois College True Blue Invite,7-Apr-23,-1.9,Triple Jump,CCIW,Women
18,"Mathews, Leilani",SR-4,Elmhurst,9.36m,Illinois College True Blue Invite,7-Apr-23,-1.5,Triple Jump,CCIW,Women
19,"Parthemore, Rachel",JR-3,North Central (Ill.),9.27m,NCC 1st Chance Invitational - 2023,7-Apr-23,0,Triple Jump,CCIW,Women
20,"Kreuziger, Emma",SO-2,Carthage,9.22m,Wisconsin Private College Championships,2-Apr-23,1.3,Triple Jump,CCIW,Women
21,"Maragni, Maddie",FR-1,Millikin,9.04m,Greenville College Select Meet,15-Apr-23,0.5,Triple Jump,CCIW,Women
22,"Nash, Delaney",SO-2,North Central (Ill.),8.93m,NCC 1st Chance Invitational - 2023,7-Apr-23,0.1,Triple Jump,CCIW,Women
23,"Hoffman, Katie",FR-1,Elmhurst,8.70m,Wheaton Invitational 2023,14-Apr-23,0.3,Triple Jump,CCIW,Women
1,"White, Joseph",SO-2,Carthage,17.66m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Shot Put,CCIW,Men
2,"Hermsen, Steven",JR-3,Carroll (Wis.),16.02m,Beloit Relays,15-Apr-23,NaN,Shot Put,CCIW,Men
3,"Fremouw, Clark",SR-4,North Park,14.98m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Men
4,"Hughes, Riley",SR-4,North Central (Ill.),14.93m,Cal State LA Twilight - College/University,12-Apr-23,NaN,Shot Put,CCIW,Men
5,"Pitrone, Alex",JR-3,Carthage,14.82m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Shot Put,CCIW,Men
6,"Gabriele, Trevor",SR-4,Wheaton (Ill.),14.67m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Men
7,"Leal, Lucas",SO-2,Carthage,14.34m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Men
8,"Campbell, Will",FR-1,Carroll (Wis.),13.81m,Wisconsin Private College Championships,2-Apr-23,NaN,Shot Put,CCIW,Men
9,"Lies, Renz",SO-2,Carthage,13.45m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Shot Put,CCIW,Men
10,"Wells, Magnus",FR-1,Augustana (Ill.),13.44m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Men
11,"Pankau, Jaden",SO-2,Wheaton (Ill.),13.35m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Men
12,"Reusser, Brady",FR-1,Carroll (Wis.),13.29m,Beloit Relays,15-Apr-23,NaN,Shot Put,CCIW,Men
13,"Rose, Tyler",FR-1,Carthage,13.20m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Shot Put,CCIW,Men
14,"McAlister, Gavin",FR-1,North Central (Ill.),13.14m,Spartan Opener,2-Apr-23,NaN,Shot Put,CCIW,Men
15,"Brost, Jacob",FR-1,Carthage,13.08m,Wisconsin Private College Championships,2-Apr-23,NaN,Shot Put,CCIW,Men
16,"Wagner, Matt",SO-2,Illinois Wesleyan,12.83m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Men
17,"Cowan, Luke",JR-3,Augustana (Ill.),12.80m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Men
18,"Spivey, Aykeem",JR-3,Augustana (Ill.),12.77m,Rex Foster Twilight,7-Apr-23,NaN,Shot Put,CCIW,Men
19,"Carter, Kane",FR-1,Millikin,12.69m,Wash U 5 Way,25-Mar-23,NaN,Shot Put,CCIW,Men
20,"Dominguez, Daniel",FR-1,North Central (Ill.),12.66m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Shot Put,CCIW,Men
21,"Maloney, Ryan",SR-4,Illinois Wesleyan,12.59m,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,Shot Put,CCIW,Men
22,"Grammich, Anthony",SR-4,North Central (Ill.),12.57m,Spartan Opener,2-Apr-23,NaN,Shot Put,CCIW,Men
23,"Hughes, Jordan",FR-1,Carthage,12.40m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Men
24,"Fay, Paul",SR-4,Wheaton (Ill.),12.23m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Men
25,"Huff, Nick",SR-4,Carthage,12.09m,Wisconsin Private College Championships,2-Apr-23,NaN,Shot Put,CCIW,Men
1,"Schoeneman, Aubrey",JR-3,Carthage,14.00m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Women
2,"Uitenbroek, Vanessa",SO-2,Carroll (Wis.),13.87m,Beloit Relays,15-Apr-23,NaN,Shot Put,CCIW,Women
3,"Falk, Maria",SO-2,Carroll (Wis.),13.54m,Beloit Relays,15-Apr-23,NaN,Shot Put,CCIW,Women
4,"Tuzil, Jackie",FR-1,Carthage,12.35m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Shot Put,CCIW,Women
5,"Gulsvig, Alyssa",JR-3,Carthage,12.32m,Wisconsin Private College Championships,2-Apr-23,NaN,Shot Put,CCIW,Women
6,"Wright, Mikayla",SO-2,Carthage,12.23m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Shot Put,CCIW,Women
7,"Payne, Madison",FR-1,Carthage,12.19m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Women
8,"Carel, Olivia",SO-2,Carthage,12.13m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Shot Put,CCIW,Women
9,"Gudaitis, Cate",SO-2,Carroll (Wis.),11.99m,Rex Foster Twilight,7-Apr-23,NaN,Shot Put,CCIW,Women
10,"Michalski, Heather",SO-2,Augustana (Ill.),11.72m,Wash U 5 Way,25-Mar-23,NaN,Shot Put,CCIW,Women
10,"Brucci, Kaitlyn",SO-2,Carroll (Wis.),11.72m,Wisconsin Private College Championships,2-Apr-23,NaN,Shot Put,CCIW,Women
12,"Mattox, Alexis",JR-3,Carthage,11.25m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Women
13,"Lizano, Hannah",JR-3,Carthage,10.93m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Shot Put,CCIW,Women
14,"Wunderlich, Bridget",SO-2,Augustana (Ill.),10.71m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Women
15,"Melton, Amanda",FR-1,North Central (Ill.),10.36m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Shot Put,CCIW,Women
16,"Slater, Caroline",FR-1,Elmhurst,10.04m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Women
17,"McKnight, Lauren",SO-2,North Park,10.02m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Women
18,"Bottalico, Linda",SO-2,North Central (Ill.),9.92m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Women
19,"Retherford, Claire",SR-4,Illinois Wesleyan,9.77m,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,Shot Put,CCIW,Women
20,"Johnston, Teagan",SO-2,Carthage,9.53m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Women
21,"Wills, Haley",SO-2,Augustana (Ill.),9.48m,Rex Foster Twilight,7-Apr-23,NaN,Shot Put,CCIW,Women
22,"Olvera, Lillie Ana",FR-1,Augustana (Ill.),9.14m,Wheaton Invitational 2023,14-Apr-23,NaN,Shot Put,CCIW,Women
23,"Miller, Esther",SR-4,North Park,8.77m,2023 Bryan Clay Invitational,13-Apr-23,NaN,Shot Put,CCIW,Women
24,"Bullock, Analynn",FR-1,Millikin,7.89m,2023 Millikin Alumni Invite,1-Apr-23,NaN,Shot Put,CCIW,Women
25,"Kinyua, Alela",FR-1,Millikin,7.88m,2023 Millikin Alumni Invite,1-Apr-23,NaN,Shot Put,CCIW,Women
1,"Hermsen, Steven",JR-3,Carroll (Wis.),58.32m,Rex Foster Twilight,7-Apr-23,NaN,Discus,CCIW,Men
2,"Fremouw, Clark",SR-4,North Park,47.01m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Men
3,"Reusser, Brady",FR-1,Carroll (Wis.),45.33m,St. Norbert Twilight,6-Apr-23,NaN,Discus,CCIW,Men
4,"Hughes, Riley",SR-4,North Central (Ill.),44.40m,Beach Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Men
5,"Rose, Tyler",FR-1,Carthage,44.29m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Men
6,"Cross, Camron",JR-3,Millikin,44.12m,Illinois College True Blue Invite,7-Apr-23,NaN,Discus,CCIW,Men
7,"Wells, Magnus",FR-1,Augustana (Ill.),43.75m,Wartburg Outdoor Select,1-Apr-23,NaN,Discus,CCIW,Men
8,"White, Joseph",SO-2,Carthage,42.66m,Wisconsin Private College Championships,2-Apr-23,NaN,Discus,CCIW,Men
9,"Campbell, Will",FR-1,Carroll (Wis.),42.09m,Beloit Relays,15-Apr-23,NaN,Discus,CCIW,Men
10,"Boado, Kristian",JR-3,Millikin,41.11m,Illinois College True Blue Invite,7-Apr-23,NaN,Discus,CCIW,Men
11,"Ferlita, Jaden",SR-4,Wheaton (Ill.),40.20m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Men
12,"O'Brien, Josh",SR-4,Augustana (Ill.),40.16m,Rex Foster Twilight,7-Apr-23,NaN,Discus,CCIW,Men
13,"Cowan, Luke",JR-3,Augustana (Ill.),39.67m,Wartburg Outdoor Select,1-Apr-23,NaN,Discus,CCIW,Men
14,"Pankau, Jaden",SO-2,Wheaton (Ill.),39.14m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Men
15,"Brost, Jacob",FR-1,Carthage,38.90m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Men
16,"Pitrone, Alex",JR-3,Carthage,38.39m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Men
17,"Carter, Kane",FR-1,Millikin,38.29m,Wash U 5 Way,25-Mar-23,NaN,Discus,CCIW,Men
17,"Leal, Lucas",SO-2,Carthage,38.29m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Men
19,"Grammich, Anthony",SR-4,North Central (Ill.),38.17m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Men
20,"Zajac, Anthony",SO-2,North Central (Ill.),37.55m,Spartan Opener,2-Apr-23,NaN,Discus,CCIW,Men
21,"Juarez, Harry",FR-1,Augustana (Ill.),37.06m,Rex Foster Twilight,7-Apr-23,NaN,Discus,CCIW,Men
22,"Hughes, Jordan",FR-1,Carthage,36.77m,Wisconsin Private College Championships,2-Apr-23,NaN,Discus,CCIW,Men
23,"McAlister, Gavin",FR-1,North Central (Ill.),35.37m,Spartan Opener,2-Apr-23,NaN,Discus,CCIW,Men
24,"Baggio, Roy",JR-3,Millikin,35.36m,Greenville College Select Meet,15-Apr-23,NaN,Discus,CCIW,Men
25,"Dominguez, Daniel",FR-1,North Central (Ill.),35.30m,Spartan Opener,2-Apr-23,NaN,Discus,CCIW,Men
1,"Schoeneman, Aubrey",JR-3,Carthage,44.67m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
1,"Frere, Charlotte",FR-1,Augustana (Ill.),44.67m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
3,"Uitenbroek, Vanessa",SO-2,Carroll (Wis.),44.41m,Beloit Relays,15-Apr-23,NaN,Discus,CCIW,Women
4,"Gudaitis, Cate",SO-2,Carroll (Wis.),42.18m,Rex Foster Twilight,7-Apr-23,NaN,Discus,CCIW,Women
5,"Melton, Amanda",FR-1,North Central (Ill.),40.73m,Spartan Opener,2-Apr-23,NaN,Discus,CCIW,Women
6,"Draves, Alexandra",SR-4,North Central (Ill.),39.82m,Cal State LA Twilight - College/University,12-Apr-23,NaN,Discus,CCIW,Women
7,"Tuzil, Jackie",FR-1,Carthage,39.66m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
8,"Tarpley, Nicole",JR-3,Carthage,38.32m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
9,"Michalski, Heather",SO-2,Augustana (Ill.),37.56m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
10,"Falk, Maria",SO-2,Carroll (Wis.),37.01m,Wisconsin Private College Championships,2-Apr-23,NaN,Discus,CCIW,Women
11,"Gulsvig, Alyssa",JR-3,Carthage,36.94m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
12,"Patterson, Adriyanna",SO-2,Millikin,36.52m,Greenville College Select Meet,15-Apr-23,NaN,Discus,CCIW,Women
13,"Payne, Madison",FR-1,Carthage,35.31m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
14,"Mattox, Alexis",JR-3,Carthage,35.26m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
15,"Carel, Olivia",SO-2,Carthage,35.03m,Wisconsin Private College Championships,2-Apr-23,NaN,Discus,CCIW,Women
16,"Dill, Dora",JR-3,Carthage,34.25m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
17,"Miller, A.C.",SO-2,Carroll (Wis.),32.95m,St. Norbert Twilight,6-Apr-23,NaN,Discus,CCIW,Women
18,"Retherford, Claire",SR-4,Illinois Wesleyan,32.59m,Wabash College Huntsman Family Invite 2023,8-Apr-23,NaN,Discus,CCIW,Women
19,"Bottalico, Linda",SO-2,North Central (Ill.),32.25m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
20,"Sweas, Brianna",FR-1,Millikin,32.00m,Illinois College True Blue Invite,7-Apr-23,NaN,Discus,CCIW,Women
21,"Wright, Mikayla",SO-2,Carthage,31.51m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
22,"Brucci, Kaitlyn",SO-2,Carroll (Wis.),30.32m,Beloit Relays,15-Apr-23,NaN,Discus,CCIW,Women
23,"Ullrich, Madi",FR-1,Carroll (Wis.),30.13m,Beloit Relays,15-Apr-23,NaN,Discus,CCIW,Women
24,"Felker, Trista",SO-2,Wheaton (Ill.),28.18m,Wheaton Invitational 2023,14-Apr-23,NaN,Discus,CCIW,Women
25,"Kelly, Grace",SO-2,Carroll (Wis.),27.23m,Beloit Relays,15-Apr-23,NaN,Discus,CCIW,Women
1,"White, Joseph",SO-2,Carthage,60.85m,Fighting Illini Challenge,8-Apr-23,NaN,Hammer,CCIW,Men
2,"Hinkley, Jimmy",SO-2,Carroll (Wis.),57.30m,Wisconsin Private College Championships,2-Apr-23,NaN,Hammer,CCIW,Men
3,"Hermsen, Steven",JR-3,Carroll (Wis.),57.05m,Beloit Relays,15-Apr-23,NaN,Hammer,CCIW,Men
4,"Leal, Lucas",SO-2,Carthage,55.50m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Men
5,"Boado, Kristian",JR-3,Millikin,53.73m,Illinois College True Blue Invite,7-Apr-23,NaN,Hammer,CCIW,Men
6,"Eipers, Carson",JR-3,Augustana (Ill.),49.69m,Wartburg Outdoor Select,1-Apr-23,NaN,Hammer,CCIW,Men
7,"Zajac, Anthony",SO-2,North Central (Ill.),48.65m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Hammer,CCIW,Men
8,"Huff, Nick",SR-4,Carthage,47.72m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Hammer,CCIW,Men
9,"Brost, Jacob",FR-1,Carthage,47.19m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Men
10,"Fremouw, Clark",SR-4,North Park,46.13m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Hammer,CCIW,Men
11,"Wells, Magnus",FR-1,Augustana (Ill.),45.35m,Wash U 5 Way,25-Mar-23,NaN,Hammer,CCIW,Men
12,"Lies, Renz",SO-2,Carthage,45.00m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Hammer,CCIW,Men
13,"McAlister, Gavin",FR-1,North Central (Ill.),44.81m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Hammer,CCIW,Men
14,"Juarez, Harry",FR-1,Augustana (Ill.),40.99m,Wash U 5 Way,25-Mar-23,NaN,Hammer,CCIW,Men
15,"Maloney, Ryan",SR-4,Illinois Wesleyan,40.97m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Men
16,"Campbell, Will",FR-1,Carroll (Wis.),40.71m,Wisconsin Private College Championships,2-Apr-23,NaN,Hammer,CCIW,Men
17,"Cowan, Luke",JR-3,Augustana (Ill.),39.55m,Wartburg Outdoor Select,1-Apr-23,NaN,Hammer,CCIW,Men
18,"Wagner, Matt",SO-2,Illinois Wesleyan,39.47m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Men
19,"Hogan, Nick",SO-2,Augustana (Ill.),39.36m,Wash U 5 Way,25-Mar-23,NaN,Hammer,CCIW,Men
20,"Pedersen, Chris",SR-4,Elmhurst,38.64m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Men
21,"Ladewig, C.J.",FR-1,Illinois Wesleyan,38.07m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Men
22,"Ocampo, Juan",SO-2,Carroll (Wis.),37.90m,Beloit Relays,15-Apr-23,NaN,Hammer,CCIW,Men
23,"Rose, Tyler",FR-1,Carthage,37.40m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Hammer,CCIW,Men
24,"Reusser, Brady",FR-1,Carroll (Wis.),36.85m,Beloit Relays,15-Apr-23,NaN,Hammer,CCIW,Men
25,"Spivey, Aykeem",JR-3,Augustana (Ill.),36.54m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Men
1,"Draves, Alexandra",SR-4,North Central (Ill.),54.16m,Spartan Opener,2-Apr-23,NaN,Hammer,CCIW,Women
2,"Mattox, Alexis",JR-3,Carthage,51.72m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Women
3,"Patterson, Adriyanna",SO-2,Millikin,50.51m,Greenville College Select Meet,15-Apr-23,NaN,Hammer,CCIW,Women
4,"Uitenbroek, Vanessa",SO-2,Carroll (Wis.),48.86m,Beloit Relays,15-Apr-23,NaN,Hammer,CCIW,Women
5,"Tarpley, Nicole",JR-3,Carthage,47.77m,Wisconsin Private College Championships,2-Apr-23,NaN,Hammer,CCIW,Women
6,"Dill, Dora",JR-3,Carthage,46.14m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Hammer,CCIW,Women
7,"Bugge, Maria",FR-1,North Park,45.81m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Hammer,CCIW,Women
8,"Abell, Katie",JR-3,Millikin,44.50m,Greenville College Select Meet,15-Apr-23,NaN,Hammer,CCIW,Women
9,"Falk, Maria",SO-2,Carroll (Wis.),44.37m,Beloit Relays,15-Apr-23,NaN,Hammer,CCIW,Women
10,"Clevenger, Jessie",SR-4,Carthage,44.11m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Women
11,"Gudaitis, Cate",SO-2,Carroll (Wis.),43.42m,Wisconsin Private College Championships,2-Apr-23,NaN,Hammer,CCIW,Women
12,"King, Carlyssa",SO-2,Illinois Wesleyan,42.52m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Women
13,"Sweas, Brianna",FR-1,Millikin,42.38m,Greenville College Select Meet,15-Apr-23,NaN,Hammer,CCIW,Women
14,"Schoeneman, Aubrey",JR-3,Carthage,41.54m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Hammer,CCIW,Women
15,"Wright, Mikayla",SO-2,Carthage,41.47m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Hammer,CCIW,Women
16,"Moran, Kelsey",SO-2,Carroll (Wis.),40.79m,Wisconsin Private College Championships,2-Apr-23,NaN,Hammer,CCIW,Women
17,"Lizano, Hannah",JR-3,Carthage,40.38m,Wisconsin Private College Championships,2-Apr-23,NaN,Hammer,CCIW,Women
18,"Michalski, Heather",SO-2,Augustana (Ill.),40.21m,SAU Easter Weekend,5-Apr-23,NaN,Hammer,CCIW,Women
19,"Gati, Afi",SO-2,Augustana (Ill.),39.69m,SAU Easter Weekend,5-Apr-23,NaN,Hammer,CCIW,Women
20,"Payne, Madison",FR-1,Carthage,39.62m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Women
21,"Creek, Ericka",SR-4,Elmhurst,38.80m,Wheaton Invitational 2023,14-Apr-23,NaN,Hammer,CCIW,Women
22,"Gulsvig, Alyssa",JR-3,Carthage,38.52m,NCC 1st Chance Invitational - 2023,7-Apr-23,NaN,Hammer,CCIW,Women
23,"Carel, Olivia",SO-2,Carthage,38.42m,Wisconsin Private College Championships,2-Apr-23,NaN,Hammer,CCIW,Women
